package,binary_value,available_versions,TabHost_use_in_latest_version,support_this_feature
com.subsplash.thechurchapp.christianworshipcenterbayarea,0,2,,False
com.subsplash.thechurchapp.communitybiblechurch,0,2,,False
com.subsplash.thechurchapp.crossroadschurchreddeer,0,2,,False
com.subsplash.thechurchapp.dare2share,0,2,,False
com.subsplash.thechurchapp.destinyworshipcenter,0,2,,False
com.subsplash.thechurchapp.echochurch,0,2,,False
com.subsplash.thechurchapp.elevationchurch,0,2,,False
com.subsplash.thechurchapp.embracechurchsd,0,2,,False
com.subsplash.thechurchapp.familyworshipcenter,0,2,,False
com.subsplash.thechurchapp.focus,0,2,,False
com.subsplash.thechurchapp.gatewaycitychurch,0,2,,False
com.subsplash.thechurchapp.gracetoyou,0,2,,False
com.subsplash.thechurchapp.graysharborfoursquarechurch,0,2,,False
com.subsplash.thechurchapp.harvestchurchbillings,0,2,,False
com.subsplash.thechurchapp.hickorygrovebaptistchurch,0,2,,False
com.subsplash.thechurchapp.horizonchristian,0,2,,False
com.subsplash.thechurchapp.internationalhouseofprayer,0,2,,False
com.subsplash.thechurchapp.lakescommunitychurch,0,2,,False
com.subsplash.thechurchapp.legacychurchnewmexico,0,3,,False
com.subsplash.thechurchapp.marshillbaptist,0,2,,False
com.subsplash.thechurchapp.matthiaslotchurch,0,2,,False
com.subsplash.thechurchapp.mychc,0,2,,False
com.subsplash.thechurchapp.northwestministrynetwork,0,2,,False
com.subsplash.thechurchapp.onenewman,0,2,,False
com.subsplash.thechurchapp.pacificcoast,0,2,,False
com.subsplash.thechurchapp.passionchurch,0,2,,False
com.subsplash.thechurchapp.redeemerpresbyterian,0,2,,False
com.subsplash.thechurchapp.relatechurch,0,2,,False
com.subsplash.thechurchapp.snoqualmievalleyalliance,0,2,,False
com.subsplash.thechurchapp.solidrock,0,2,,False
com.subsplash.thechurchapp.spiritoffaithchristiancenter,0,2,,False
com.subsplash.thechurchapp.thegladechurch,0,2,,False
com.subsplash.thechurchapp.themtpisgahchurch,0,2,,False
com.subsplash.thechurchapp.theriverchurch,0,2,,False
com.subsplash.thechurchapp.transformationalleadership,0,2,,False
com.subsplash.thechurchapp.transformationchurch,0,2,,False
com.subsplash.thechurchapp.truthforlife,0,2,,False
com.subsplash.thechurchapp.ucbaustralia,0,2,,False
com.subsplash.thechurchapp.uccf,0,2,,False
com.subsplash.thechurchapp.westsidechurchne,0,2,,False
